# 1: Detection or Track-id,2: Video or Image Identifier,3: Unique Frame Identifier,4-7: Img-bbox(TL_x,TL_y,BR_x,BR_y),8: Detection or Length Confidence,9: Target Length (0 or -1 if invalid),10-11+: Repeated Species,Confidence Pairs or Attributes
# metadata,"exported_by: ""dive:python""","exported_time: ""Fri Jan  6 15:15:38 2023"""
255484,20160623_SSLC0073_C.jpg,0,4975,925,5156,1027,1.0,-1,Bull,1.0
255485,20160623_SSLC0073_C.jpg,0,5479,1745,5568,1933,1.0,-1,Bull,1.0
255486,20160623_SSLC0073_C.jpg,0,4829,1952,5006,2042,1.0,-1,Bull,1.0
255487,20160623_SSLC0073_C.jpg,0,4528,2077,4640,2255,1.0,-1,Bull,1.0
255488,20160623_SSLC0073_C.jpg,0,5163,458,5309,537,1.0,-1,Bull,1.0
255489,20160623_SSLC0073_C.jpg,0,5265,66,5351,159,1.0,-1,Juv,1.0
255490,20160623_SSLC0073_C.jpg,0,5248,127,5335,177,1.0,-1,Juv,1.0
255491,20160623_SSLC0073_C.jpg,0,5280,217,5405,271,1.0,-1,Juv,1.0
255492,20160623_SSLC0073_C.jpg,0,5501,283,5575,355,1.0,-1,Juv,1.0
255493,20160623_SSLC0073_C.jpg,0,5396,486,5459,556,1.0,-1,Juv,1.0
255494,20160623_SSLC0073_C.jpg,0,5279,525,5366,614,1.0,-1,SAM,1.0
255495,20160623_SSLC0073_C.jpg,0,5336,594,5416,642,1.0,-1,Juv,1.0
255496,20160623_SSLC0073_C.jpg,0,5236,593,5296,667,1.0,-1,Juv,1.0
255497,20160623_SSLC0073_C.jpg,0,5186,664,5272,731,1.0,-1,Juv,1.0
255498,20160623_SSLC0073_C.jpg,0,5349,639,5407,753,1.0,-1,Fem,1.0
255499,20160623_SSLC0073_C.jpg,0,5032,752,5079,859,1.0,-1,Juv,1.0
255500,20160623_SSLC0073_C.jpg,0,4858,1415,4975,1556,1.0,-1,SAM,1.0
255501,20160623_SSLC0073_C.jpg,0,1327,600,1501,675,1.0,-1,Bull,1.0
255502,20160623_SSLC0073_C.jpg,0,5246,1,5352,144,1.0,-1,Fem,1.0
255503,20160623_SSLC0073_C.jpg,0,5299,276,5421,358,1.0,-1,Fem,1.0
255504,20160623_SSLC0073_C.jpg,0,5232,342,5341,411,1.0,-1,Fem,1.0
255505,20160623_SSLC0073_C.jpg,0,5117,449,5169,549,1.0,-1,Juv,1.0
255506,20160623_SSLC0073_C.jpg,0,5069,582,5144,672,1.0,-1,Juv,1.0
255507,20160623_SSLC0073_C.jpg,0,5120,561,5212,641,1.0,-1,Juv,1.0
255508,20160623_SSLC0073_C.jpg,0,5121,666,5219,753,1.0,-1,Fem,1.0
255509,20160623_SSLC0073_C.jpg,0,4822,1015,4905,1125,1.0,-1,Fem,1.0
255510,20160623_SSLC0073_C.jpg,0,4762,1120,4865,1196,1.0,-1,Fem,1.0
255511,20160623_SSLC0073_C.jpg,0,4914,1207,5027,1297,1.0,-1,Fem,1.0
255512,20160623_SSLC0073_C.jpg,0,4766,1220,4867,1302,1.0,-1,Fem,1.0
255513,20160623_SSLC0073_C.jpg,0,4995,806,5061,906,1.0,-1,Fem,1.0
255514,20160623_SSLC0073_C.jpg,0,5281,1020,5381,1084,1.0,-1,Fem,1.0
255515,20160623_SSLC0073_C.jpg,0,5495,1116,5626,1186,1.0,-1,Fem,1.0
255516,20160623_SSLC0073_C.jpg,0,5149,1135,5264,1238,1.0,-1,Fem,1.0
255517,20160623_SSLC0073_C.jpg,0,5583,1289,5687,1373,1.0,-1,Fem,1.0
255518,20160623_SSLC0073_C.jpg,0,5525,1366,5635,1417,1.0,-1,Fem,1.0
255519,20160623_SSLC0073_C.jpg,0,5282,1242,5352,1387,1.0,-1,Fem,1.0
255520,20160623_SSLC0073_C.jpg,0,5417,1511,5511,1617,1.0,-1,Fem,1.0
255521,20160623_SSLC0073_C.jpg,0,4828,1603,4977,1660,1.0,-1,Fem,1.0
255522,20160623_SSLC0073_C.jpg,0,4531,2006,4688,2063,1.0,-1,Fem,1.0
255523,20160623_SSLC0073_C.jpg,0,4463,1882,4622,1942,1.0,-1,Fem,1.0
255524,20160623_SSLC0073_C.jpg,0,4784,2100,4873,2158,1.0,-1,Juv,1.0
255525,20160623_SSLC0073_C.jpg,0,4831,2030,4924,2134,1.0,-1,Fem,1.0
255526,20160623_SSLC0073_C.jpg,0,5190,2115,5327,2191,1.0,-1,Fem,1.0
255527,20160623_SSLC0073_C.jpg,0,5301,2083,5397,2185,1.0,-1,Juv,1.0
255528,20160623_SSLC0073_C.jpg,0,5255,2160,5342,2258,1.0,-1,Juv,1.0
255529,20160623_SSLC0073_C.jpg,0,5358,1718,5479,1784,1.0,-1,Fem,1.0
255530,20160623_SSLC0073_C.jpg,0,5351,2015,5443,2099,1.0,-1,Fem,1.0
255531,20160623_SSLC0073_C.jpg,0,5019,883,5098,956,1.0,-1,Juv,1.0
255532,20160623_SSLC0073_C.jpg,0,4879,1051,4970,1120,1.0,-1,Juv,1.0
255533,20160623_SSLC0073_C.jpg,0,4960,1070,5020,1155,1.0,-1,Juv,1.0
255534,20160623_SSLC0073_C.jpg,0,5060,1088,5160,1150,1.0,-1,Juv,1.0
255535,20160623_SSLC0073_C.jpg,0,5106,1143,5172,1206,1.0,-1,Juv,1.0
255536,20160623_SSLC0073_C.jpg,0,5134,1141,5177,1264,1.0,-1,Juv,1.0
255537,20160623_SSLC0073_C.jpg,0,5270,1088,5338,1172,1.0,-1,Juv,1.0
255538,20160623_SSLC0073_C.jpg,0,5375,1073,5436,1123,1.0,-1,Juv,1.0
255539,20160623_SSLC0073_C.jpg,0,5399,1006,5468,1088,1.0,-1,Juv,1.0
255540,20160623_SSLC0073_C.jpg,0,5389,1120,5467,1190,1.0,-1,Juv,1.0
255541,20160623_SSLC0073_C.jpg,0,5563,1165,5639,1233,1.0,-1,Juv,1.0
255542,20160623_SSLC0073_C.jpg,0,5538,1237,5651,1287,1.0,-1,Juv,1.0
255543,20160623_SSLC0073_C.jpg,0,5448,1277,5546,1345,1.0,-1,Juv,1.0
255544,20160623_SSLC0073_C.jpg,0,5401,1351,5476,1436,1.0,-1,Juv,1.0
255545,20160623_SSLC0073_C.jpg,0,5383,1395,5468,1484,1.0,-1,Juv,1.0
255546,20160623_SSLC0073_C.jpg,0,5331,1495,5409,1591,1.0,-1,Juv,1.0
255547,20160623_SSLC0073_C.jpg,0,5481,1506,5533,1581,1.0,-1,Juv,1.0
255548,20160623_SSLC0073_C.jpg,0,4730,1282,4837,1328,1.0,-1,Juv,1.0
255549,20160623_SSLC0073_C.jpg,0,4873,1242,4958,1301,1.0,-1,Juv,1.0
255550,20160623_SSLC0073_C.jpg,0,4821,1308,4921,1351,1.0,-1,Juv,1.0
255551,20160623_SSLC0073_C.jpg,0,4888,1326,4980,1383,1.0,-1,Juv,1.0
255552,20160623_SSLC0073_C.jpg,0,4920,1385,5021,1463,1.0,-1,Juv,1.0
255553,20160623_SSLC0073_C.jpg,0,4809,1358,4921,1448,1.0,-1,Juv,1.0
255554,20160623_SSLC0073_C.jpg,0,4777,1518,4876,1578,1.0,-1,Juv,1.0
255555,20160623_SSLC0073_C.jpg,0,4744,1574,4870,1634,1.0,-1,Fem,1.0
255556,20160623_SSLC0073_C.jpg,0,4935,1556,5011,1655,1.0,-1,Fem,1.0
255557,20160623_SSLC0073_C.jpg,0,4900,1643,4969,1733,1.0,-1,Juv,1.0
255558,20160623_SSLC0073_C.jpg,0,5020,1620,5128,1694,1.0,-1,Juv,1.0
255559,20160623_SSLC0073_C.jpg,0,5129,1547,5210,1643,1.0,-1,Juv,1.0
255560,20160623_SSLC0073_C.jpg,0,5162,1612,5250,1660,1.0,-1,Juv,1.0
